original_file,file,arrival_time,augmentation_type
01010056.mseed,01010056.mseed,30.59999990463257,original
01010056.mseed,01010056_aug1.mseed,30.59999990463257,amplitude_modulation
01010056.mseed,01010056_aug2.mseed,20.999999904632567,time_shift_noise
01010332.mseed,01010332.mseed,30.09999990463257,original
01010332.mseed,01010332_aug1.mseed,30.09999990463257,amplitude_modulation
01010332.mseed,01010332_aug2.mseed,23.12999990463257,time_shift_noise
01010543.mseed,01010543.mseed,26.0,original
01010543.mseed,01010543_aug1.mseed,26.0,amplitude_modulation
01010543.mseed,01010543_aug2.mseed,18.84,time_shift_noise
01010544.mseed,01010544.mseed,30.5,original
01010544.mseed,01010544_aug1.mseed,30.5,amplitude_modulation
01010544.mseed,01010544_aug2.mseed,39.69,time_shift_noise
01010950.mseed,01010950.mseed,30.09999990463257,original
01010950.mseed,01010950_aug1.mseed,30.09999990463257,amplitude_modulation
01010950.mseed,01010950_aug2.mseed,39.82999990463257,time_shift_noise
01011302.mseed,01011302.mseed,30.59999990463257,original
01011302.mseed,01011302_aug1.mseed,30.59999990463257,amplitude_modulation
01011302.mseed,01011302_aug2.mseed,28.069999904632567,time_shift_noise
01011314.mseed,01011314.mseed,30.799999952316284,original
01011314.mseed,01011314_aug1.mseed,30.799999952316284,amplitude_modulation
01011314.mseed,01011314_aug2.mseed,25.039999952316286,time_shift_noise
01011412.mseed,01011412.mseed,31.0,original
01011412.mseed,01011412_aug1.mseed,31.0,amplitude_modulation
01011412.mseed,01011412_aug2.mseed,30.57,time_shift_noise
01011431.mseed,01011431.mseed,30.59999990463257,original
01011431.mseed,01011431_aug1.mseed,30.59999990463257,amplitude_modulation
01011431.mseed,01011431_aug2.mseed,37.759999904632565,time_shift_noise
01011908.mseed,01011908.mseed,30.90000009536743,original
01011908.mseed,01011908_aug1.mseed,30.90000009536743,amplitude_modulation
01011908.mseed,01011908_aug2.mseed,32.08000009536743,time_shift_noise
01012044.mseed,01012044.mseed,30.09999990463257,original
01012044.mseed,01012044_aug1.mseed,30.09999990463257,amplitude_modulation
01012044.mseed,01012044_aug2.mseed,27.73999990463257,time_shift_noise
01012049.mseed,01012049.mseed,30.299999952316284,original
01012049.mseed,01012049_aug1.mseed,30.299999952316284,amplitude_modulation
01012049.mseed,01012049_aug2.mseed,21.589999952316283,time_shift_noise
01012120.mseed,01012120.mseed,30.200000047683716,original
01012120.mseed,01012120_aug1.mseed,30.200000047683716,amplitude_modulation
01012120.mseed,01012120_aug2.mseed,34.51000004768372,time_shift_noise
01012126.mseed,01012126.mseed,30.40000009536743,original
01012126.mseed,01012126_aug1.mseed,30.40000009536743,amplitude_modulation
01012126.mseed,01012126_aug2.mseed,28.410000095367433,time_shift_noise
01012153.mseed,01012153.mseed,30.40000009536743,original
01012153.mseed,01012153_aug1.mseed,30.40000009536743,amplitude_modulation
01012153.mseed,01012153_aug2.mseed,29.73000009536743,time_shift_noise
01020413.mseed,01020413.mseed,30.299999952316284,original
01020413.mseed,01020413_aug1.mseed,30.299999952316284,amplitude_modulation
01020413.mseed,01020413_aug2.mseed,24.479999952316284,time_shift_noise
01020421.mseed,01020421.mseed,30.200000047683716,original
01020421.mseed,01020421_aug1.mseed,30.200000047683716,amplitude_modulation
01020421.mseed,01020421_aug2.mseed,36.520000047683716,time_shift_noise
01020442.mseed,01020442.mseed,30.40000009536743,original
01020442.mseed,01020442_aug1.mseed,30.40000009536743,amplitude_modulation
01020442.mseed,01020442_aug2.mseed,31.130000095367432,time_shift_noise
01020449.mseed,01020449.mseed,30.5,original
01020449.mseed,01020449_aug1.mseed,30.5,amplitude_modulation
01020449.mseed,01020449_aug2.mseed,22.75,time_shift_noise
01020501.mseed,01020501.mseed,30.799999952316284,original
01020501.mseed,01020501_aug1.mseed,30.799999952316284,amplitude_modulation
01020501.mseed,01020501_aug2.mseed,38.41999995231628,time_shift_noise
01020550.mseed,01020550.mseed,30.90000009536743,original
01020550.mseed,01020550_aug1.mseed,30.90000009536743,amplitude_modulation
01020550.mseed,01020550_aug2.mseed,37.87000009536743,time_shift_noise
01020957.mseed,01020957.mseed,31.0,original
01020957.mseed,01020957_aug1.mseed,31.0,amplitude_modulation
01020957.mseed,01020957_aug2.mseed,38.82,time_shift_noise
01022037.mseed,01022037.mseed,30.09999990463257,original
01022037.mseed,01022037_aug1.mseed,30.09999990463257,amplitude_modulation
01022037.mseed,01022037_aug2.mseed,35.52999990463257,time_shift_noise
01030010.mseed,01030010.mseed,30.799999952316284,original
01030010.mseed,01030010_aug1.mseed,30.799999952316284,amplitude_modulation
01030010.mseed,01030010_aug2.mseed,21.159999952316284,time_shift_noise
01030109.mseed,01030109.mseed,30.799999952316284,original
01030109.mseed,01030109_aug1.mseed,30.799999952316284,amplitude_modulation
01030109.mseed,01030109_aug2.mseed,32.869999952316284,time_shift_noise
01030110.mseed,01030110.mseed,30.90000009536743,original
01030110.mseed,01030110_aug1.mseed,30.90000009536743,amplitude_modulation
01030110.mseed,01030110_aug2.mseed,32.04000009536743,time_shift_noise
01030201.mseed,01030201.mseed,30.09999990463257,original
01030201.mseed,01030201_aug1.mseed,30.09999990463257,amplitude_modulation
01030201.mseed,01030201_aug2.mseed,37.31999990463257,time_shift_noise
01030354.mseed,01030354.mseed,30.59999990463257,original
01030354.mseed,01030354_aug1.mseed,30.59999990463257,amplitude_modulation
01030354.mseed,01030354_aug2.mseed,30.179999904632567,time_shift_noise
01040021.mseed,01040021.mseed,31.0,original
01040021.mseed,01040021_aug1.mseed,31.0,amplitude_modulation
01040021.mseed,01040021_aug2.mseed,31.71,time_shift_noise
01040033.mseed,01040033.mseed,30.59999990463257,original
01040033.mseed,01040033_aug1.mseed,30.59999990463257,amplitude_modulation
01040033.mseed,01040033_aug2.mseed,31.389999904632568,time_shift_noise
01040144.mseed,01040144.mseed,31.0,original
01040144.mseed,01040144_aug1.mseed,31.0,amplitude_modulation
01040144.mseed,01040144_aug2.mseed,36.82,time_shift_noise
01040257.mseed,01040257.mseed,30.09999990463257,original
01040257.mseed,01040257_aug1.mseed,30.09999990463257,amplitude_modulation
01040257.mseed,01040257_aug2.mseed,39.76999990463257,time_shift_noise
01040332.mseed,01040332.mseed,30.09999990463257,original
01040332.mseed,01040332_aug1.mseed,30.09999990463257,amplitude_modulation
01040332.mseed,01040332_aug2.mseed,39.17999990463257,time_shift_noise
01040407.mseed,01040407.mseed,30.5,original
01040407.mseed,01040407_aug1.mseed,30.5,amplitude_modulation
01040407.mseed,01040407_aug2.mseed,28.85,time_shift_noise
01040408.mseed,01040408.mseed,30.700000047683716,original
01040408.mseed,01040408_aug1.mseed,30.700000047683716,amplitude_modulation
01040408.mseed,01040408_aug2.mseed,42.65000004768372,time_shift_noise
01040534.mseed,01040534.mseed,31.0,original
01040534.mseed,01040534_aug1.mseed,31.0,amplitude_modulation
01040534.mseed,01040534_aug2.mseed,21.509999999999998,time_shift_noise
01041858.mseed,01041858.mseed,30.799999952316284,original
01041858.mseed,01041858_aug1.mseed,30.799999952316284,amplitude_modulation
01041858.mseed,01041858_aug2.mseed,39.10999995231629,time_shift_noise
01050315.mseed,01050315.mseed,30.09999990463257,original
01050315.mseed,01050315_aug1.mseed,30.09999990463257,amplitude_modulation
01050315.mseed,01050315_aug2.mseed,31.69999990463257,time_shift_noise
01050543.mseed,01050543.mseed,17.700000047683716,original
01050543.mseed,01050543_aug1.mseed,17.700000047683716,amplitude_modulation
01050543.mseed,01050543_aug2.mseed,12.190000047683716,time_shift_noise
01050621.mseed,01050621.mseed,30.40000009536743,original
01050621.mseed,01050621_aug1.mseed,30.40000009536743,amplitude_modulation
01050621.mseed,01050621_aug2.mseed,27.070000095367433,time_shift_noise
01061031.mseed,01061031.mseed,30.90000009536743,original
01061031.mseed,01061031_aug1.mseed,30.90000009536743,amplitude_modulation
01061031.mseed,01061031_aug2.mseed,33.32000009536743,time_shift_noise
01061112.mseed,01061112.mseed,30.09999990463257,original
01061112.mseed,01061112_aug1.mseed,30.09999990463257,amplitude_modulation
01061112.mseed,01061112_aug2.mseed,27.87999990463257,time_shift_noise
01061214.mseed,01061214.mseed,30.90000009536743,original
01061214.mseed,01061214_aug1.mseed,30.90000009536743,amplitude_modulation
01061214.mseed,01061214_aug2.mseed,31.540000095367432,time_shift_noise
01062035.mseed,01062035.mseed,30.700000047683716,original
01062035.mseed,01062035_aug1.mseed,30.700000047683716,amplitude_modulation
01062035.mseed,01062035_aug2.mseed,21.470000047683715,time_shift_noise
01062222.mseed,01062222.mseed,30.59999990463257,original
01062222.mseed,01062222_aug1.mseed,30.59999990463257,amplitude_modulation
01062222.mseed,01062222_aug2.mseed,35.29999990463257,time_shift_noise
01062341.mseed,01062341.mseed,30.90000009536743,original
01062341.mseed,01062341_aug1.mseed,30.90000009536743,amplitude_modulation
01062341.mseed,01062341_aug2.mseed,24.10000009536743,time_shift_noise
01070122.mseed,01070122.mseed,31.0,original
01070122.mseed,01070122_aug1.mseed,31.0,amplitude_modulation
01070122.mseed,01070122_aug2.mseed,27.7,time_shift_noise
01070146.mseed,01070146.mseed,30.90000009536743,original
01070146.mseed,01070146_aug1.mseed,30.90000009536743,amplitude_modulation
01070146.mseed,01070146_aug2.mseed,37.58000009536743,time_shift_noise
01070256.mseed,01070256.mseed,30.09999990463257,original
01070256.mseed,01070256_aug1.mseed,30.09999990463257,amplitude_modulation
01070256.mseed,01070256_aug2.mseed,21.82999990463257,time_shift_noise
01071237.mseed,01071237.mseed,30.40000009536743,original
01071237.mseed,01071237_aug1.mseed,30.40000009536743,amplitude_modulation
01071237.mseed,01071237_aug2.mseed,39.16000009536743,time_shift_noise
01071520.mseed,01071520.mseed,30.0,original
01071520.mseed,01071520_aug1.mseed,30.0,amplitude_modulation
01071520.mseed,01071520_aug2.mseed,24.38,time_shift_noise
01071835.mseed,01071835.mseed,30.299999952316284,original
01071835.mseed,01071835_aug1.mseed,30.299999952316284,amplitude_modulation
01071835.mseed,01071835_aug2.mseed,34.119999952316284,time_shift_noise
01071949.mseed,01071949.mseed,30.799999952316284,original
01071949.mseed,01071949_aug1.mseed,30.799999952316284,amplitude_modulation
01071949.mseed,01071949_aug2.mseed,25.049999952316284,time_shift_noise
01080205.mseed,01080205.mseed,30.5,original
01080205.mseed,01080205_aug1.mseed,30.5,amplitude_modulation
01080205.mseed,01080205_aug2.mseed,34.65,time_shift_noise
01080440.mseed,01080440.mseed,30.0,original
01080440.mseed,01080440_aug1.mseed,30.0,amplitude_modulation
01080440.mseed,01080440_aug2.mseed,37.86,time_shift_noise
01081101.mseed,01081101.mseed,30.59999990463257,original
01081101.mseed,01081101_aug1.mseed,30.59999990463257,amplitude_modulation
01081101.mseed,01081101_aug2.mseed,32.579999904632565,time_shift_noise
01081300.mseed,01081300.mseed,30.299999952316284,original
01081300.mseed,01081300_aug1.mseed,30.299999952316284,amplitude_modulation
01081300.mseed,01081300_aug2.mseed,38.70999995231628,time_shift_noise
01081844.mseed,01081844.mseed,30.90000009536743,original
01081844.mseed,01081844_aug1.mseed,30.90000009536743,amplitude_modulation
01081844.mseed,01081844_aug2.mseed,35.17000009536743,time_shift_noise
01082313.mseed,01082313.mseed,30.5,original
01082313.mseed,01082313_aug1.mseed,30.5,amplitude_modulation
01082313.mseed,01082313_aug2.mseed,21.03,time_shift_noise
01090019.mseed,01090019.mseed,30.09999990463257,original
01090019.mseed,01090019_aug1.mseed,30.09999990463257,amplitude_modulation
01090019.mseed,01090019_aug2.mseed,24.12999990463257,time_shift_noise
01090508.mseed,01090508.mseed,30.200000047683716,original
01090508.mseed,01090508_aug1.mseed,30.200000047683716,amplitude_modulation
01090508.mseed,01090508_aug2.mseed,33.100000047683714,time_shift_noise
01090755.mseed,01090755.mseed,30.700000047683716,original
01090755.mseed,01090755_aug1.mseed,30.700000047683716,amplitude_modulation
