original_file,file,arrival_time,augmentation_type
01010056.mseed,01010056.mseed,30.59999990463257,original
01010056.mseed,01010056_range_1_20.mseed,26.57964352998733,time_shift_range_1_20
01010056.mseed,01010056_range_25_35.mseed,36.16859110262604,time_shift_range_25_35
01010332.mseed,01010332.mseed,30.09999990463257,original
01010332.mseed,01010332_range_1_20.mseed,5.095910233866068,time_shift_range_1_20
01010332.mseed,01010332_range_25_35.mseed,42.6676452790006,time_shift_range_25_35
01010543.mseed,01010543.mseed,26.0,original
01010543.mseed,01010543_range_1_20.mseed,27.211107536334687,time_shift_range_1_20
01010543.mseed,01010543_range_25_35.mseed,47.94552292098008,time_shift_range_25_35
01010544.mseed,01010544.mseed,30.5,original
01010544.mseed,01010544_range_1_20.mseed,16.9685293786929,time_shift_range_1_20
01010544.mseed,01010544_range_25_35.mseed,46.12841631774963,time_shift_range_25_35
01010950.mseed,01010950.mseed,30.09999990463257,original
01010950.mseed,01010950_range_1_20.mseed,10.709266127141614,time_shift_range_1_20
01010950.mseed,01010950_range_25_35.mseed,30.69126213710127,time_shift_range_25_35
01011302.mseed,01011302.mseed,30.59999990463257,original
01011302.mseed,01011302_range_1_20.mseed,2.9268185638011195,time_shift_range_1_20
01011302.mseed,01011302_range_25_35.mseed,32.93800975699966,time_shift_range_25_35
01011314.mseed,01011314.mseed,30.799999952316284,original
01011314.mseed,01011314_range_1_20.mseed,2.692198045708411,time_shift_range_1_20
01011314.mseed,01011314_range_25_35.mseed,56.16591979969736,time_shift_range_25_35
01011412.mseed,01011412.mseed,31.0,original
01011412.mseed,01011412_range_1_20.mseed,21.773892816407994,time_shift_range_1_20
01011412.mseed,01011412_range_25_35.mseed,55.64659757077794,time_shift_range_25_35
01011431.mseed,01011431.mseed,30.59999990463257,original
01011431.mseed,01011431_range_1_20.mseed,1.3568325428365857,time_shift_range_1_20
01011431.mseed,01011431_range_25_35.mseed,51.56346279619497,time_shift_range_25_35
01011908.mseed,01011908.mseed,30.90000009536743,original
01011908.mseed,01011908_range_1_20.mseed,21.837968441047472,time_shift_range_1_20
01011908.mseed,01011908_range_25_35.mseed,34.50165659258728,time_shift_range_25_35
01012044.mseed,01012044.mseed,30.09999990463257,original
01012044.mseed,01012044_range_1_20.mseed,27.132474958077097,time_shift_range_1_20
01012044.mseed,01012044_range_25_35.mseed,30.334101713562628,time_shift_range_25_35
01012049.mseed,01012049.mseed,30.299999952316284,original
