file,duration,strategy,transforms,versions
01010056.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01010332.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01010543.mseed,64.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01010544.mseed,65.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01010950.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01011302.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01011314.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01011412.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01011431.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01011908.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01012044.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01012049.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01012120.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01012126.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01012153.mseed,64.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01020413.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01020421.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01020442.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01020449.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01020501.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01020550.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01020957.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01022037.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01030002.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01030010.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01030109.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01030110.mseed,85.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01030201.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01030354.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01031535.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040015.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040021.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040024.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040033.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040144.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040257.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040332.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040407.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040408.mseed,83.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01040534.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01041858.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01050315.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01050543.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01050621.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01051408.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01052103.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01061031.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01061112.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01061214.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01062031.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
